"","nsum","nGene"
"1126",1972,414
"1127",1920,370
"1128",2131,504
"1129",1982,407
"1130",2478,722
"1131",4956,1321
"1132",1823,347
"1133",1792,324
"1134",1850,319
"1135",5379,1794
"1136",1819,331
"1137",1879,345
"1138",2782,837
"1139",5357,1674
"1140",4393,1222
"1141",2187,637
"1142",2407,518
"1143",2639,735
"1144",3906,1303
"1145",4070,1273
"1146",1933,429
"1147",3694,1068
"1148",2115,505
"1149",3640,1203
"1150",3973,1340
"1151",3979,1310
"1152",7324,1992
"1153",3974,1112
"1154",5018,1394
"1155",3787,1275
"1156",7629,2622
"1157",1816,369
"1158",3734,1030
"1159",2021,476
"1160",4683,1691
"1161",1944,342
"1162",1836,341
"1163",1846,356
"1164",1875,373
"1165",2049,465
"1166",1662,323
"1167",5954,2138
"1168",2087,526
"1169",1809,411
"1170",5212,1450
"1171",4429,1468
"1172",2993,882
"1173",1956,499
"1174",2305,572
"1175",3079,1125
"1176",3181,971
"1177",6939,2212
"1178",7174,2373
"1179",8656,2978
"1180",1925,453
"1181",6290,2285
"1182",2713,866
"1183",4038,1292
"1184",1664,319
"1185",3287,1101
"1186",4773,1469
"1187",1758,423
"1188",2123,593
"1189",2296,644
"1190",2494,689
"1191",7221,2717
"1192",2309,671
"1193",2064,498
"1194",3890,1319
"1195",2163,663
"1196",1757,421
"1197",2969,1010
"1198",2083,464
"1199",4490,1480
"1200",4445,1291
"1201",3077,949
"1202",1888,385
"1203",1800,374
"1204",5411,1375
"1205",1808,372
"1206",2278,674
"1207",5989,1918
"1208",2092,475
"1209",5214,1776
"1210",1922,435
"1211",9152,2656
"1212",12462,2756
"1213",1894,486
"1214",2460,689
"1215",2880,700
"1216",1784,437
"1217",5375,1889
"1218",4818,1724
"1219",3338,1034
"1220",3424,1253
"1221",3982,1405
"1222",1659,311
"1223",1758,400
"1224",2026,501
"1225",5370,1467
"1226",2562,700
"1227",1884,572
"1228",2011,416
"1229",4205,1222
"1230",1751,439
"1231",2320,596
"1232",1958,512
"1233",1798,398
"1234",4376,1527
"1235",3648,972
"1236",1594,350
"1237",2782,906
"1238",3972,1372
"1239",1691,362
"1240",3033,789
"1241",3494,1030
"1242",3092,1008
"1243",2246,734
"1244",1803,345
"1245",2895,822
"1246",5520,1483
"1247",5315,1918
"1248",1691,395
"1249",11074,3169
"1250",2088,520
"1251",1562,303
"1252",2187,680
"1253",2610,723
"1254",1527,316
"1255",1815,413
"1256",2743,902
"1257",13077,3278
"1258",1707,441
"1259",8843,2967
"1260",2016,518
"1261",6522,2140
"1262",2786,931
"1263",3915,1391
"1264",2704,851
"1265",4539,1465
"1266",2348,577
"1267",2351,713
"1268",2032,657
"1269",1587,335
"1270",1568,333
"1271",1784,390
"1272",6332,1847
"1273",1589,392
"1274",2291,877
"1275",2246,668
"1276",6485,1723
"1277",2452,581
"1278",3372,1147
"1279",2300,685
"1280",4308,1425
"1281",4323,1602
"1282",1896,489
"1283",2543,683
"1284",1756,389
"1285",6237,2377
"1286",1594,325
"1287",3146,1005
"1288",3704,1052
"1289",1935,511
"1290",2091,581
"1291",8025,2674
"1292",1741,450
"1293",3224,1094
"1294",2067,531
"1295",5738,2048
"1296",3181,1188
"1297",5701,1954
"1298",1531,324
"1299",1921,458
"1300",11243,3209
"1301",1763,435
"1302",1663,416
"1303",4674,1474
"1304",1490,336
"1305",2191,671
"1306",1741,444
"1307",1992,456
"1308",2060,530
"1309",2816,764
"1310",2419,718
"1311",3449,1129
"1312",2128,695
"1313",4327,1311
"1314",2762,1006
"1315",1928,477
"1316",2393,780
"1317",2309,814
"1318",2315,795
"1319",6706,2398
"1320",1607,406
"1321",5922,1942
"1322",1806,423
"1323",2998,1141
"1324",1593,341
"1325",1545,336
"1326",3940,1066
"1327",1617,368
"1328",1639,376
"1329",13149,3779
"1330",1811,532
"1331",2688,935
"1332",1614,419
"1333",1707,487
"1334",1772,371
"1335",3860,1276
"1336",1665,493
"1337",2355,685
"1338",1783,466
"1339",3871,1455
"1340",4850,1534
"1341",1813,447
"1342",3458,1219
"1343",1552,348
"1344",2672,1019
"1345",1972,560
"1346",1789,479
"1347",1712,483
"1348",2023,544
"1349",1536,386
"1350",2204,690
"1351",6649,2508
"1352",1737,464
"1353",2465,791
"1354",2064,627
"1355",1506,326
"1356",1542,328
"1357",1487,330
"1358",3181,1050
"1359",1697,458
"1360",4700,1836
"1361",1850,525
"1362",4702,1612
"1363",4547,1654
"1364",1692,404
"1365",3151,1014
"1366",2231,732
"1367",4940,1120
"1368",3301,1278
"1369",13502,4007
"1370",2193,574
"1371",4782,1679
"1372",1565,479
"1373",1704,459
"1374",3310,1199
"1375",1463,320
"1376",10249,3576
"1377",4742,1621
"1378",2032,586
"1379",2072,736
"1380",3481,1414
"1381",1719,448
"1382",1411,394
"1383",5096,1784
"1384",2968,726
"1385",4146,1504
"1386",8987,2899
"1387",2469,624
"1388",4813,1632
"1389",2016,575
"1390",2168,890
"1391",3451,1160
"1392",9512,2951
"1393",1481,412
"1394",4428,1497
"1395",1899,624
"1396",1419,341
"1397",1508,357
"1398",3429,1352
"1399",3579,1279
"1400",1926,581
"1401",4020,1360
"1402",1756,513
"1403",1379,327
"1404",2631,984
"1405",2743,890
"1406",2129,760
"1407",1861,411
"1408",2230,782
"1409",1614,506
"1410",1867,542
"1411",5040,1616
"1412",1563,451
"1413",1749,523
"1414",1558,357
"1415",6844,2142
"1416",1737,452
"1417",1659,438
"1418",1993,704
"1419",1779,517
"1420",7166,2427
"1421",2058,659
"1422",1561,460
"1423",2492,882
"1424",1912,535
"1425",2331,726
"1426",1812,464
"1427",5567,1882
"1428",3985,1337
"1429",11814,3534
"1430",6399,2152
"1431",3672,898
"1432",1509,398
"1433",2917,882
"1434",5210,1927
"1435",2135,709
"1436",2008,514
"1437",1643,403
"1438",6060,2207
"1439",1748,519
"1440",1718,426
"1441",1636,466
"1442",3891,1242
"1443",6428,2237
"1444",1385,306
"1445",12534,3434
"1446",1935,509
"1447",1686,460
"1448",1789,412
"1449",1794,491
"1450",1476,362
"1451",1366,324
"1452",1561,452
"1453",1532,435
"1454",5485,1896
"1455",3442,1475
"1456",2237,891
"1457",2012,596
"1458",1611,436
"1459",4030,1555
"1460",2717,845
"1461",4147,1576
"1462",1761,439
"1463",3945,1012
"1464",1319,318
"1465",2942,1102
"1466",8874,2657
"1467",1344,305
"1468",3017,1132
"1469",2298,856
"1470",2152,638
"1471",1893,579
"1472",10659,2822
"1473",10565,2922
"1474",5048,1619
"1475",4670,1792
"1476",1570,428
"1477",2531,861
"1478",4424,1727
"1479",2455,920
"1480",4883,1640
"1481",2009,622
"1482",5738,2070
"1483",1366,349
"1484",1597,462
"1485",8938,2351
"1486",3378,1284
"1487",6281,2427
"1488",5047,1844
"1489",2758,897
"1490",1720,512
"1491",16489,3080
"1492",1298,325
"1493",5940,2064
"1494",1288,322
"1495",1471,403
"1496",4588,1687
"1497",2792,1073
"1498",2517,869
"1499",4548,1625
"1500",2272,919
"1501",2764,1109
"1502",1741,485
"1503",3596,1498
"1504",7670,2430
"1505",1435,414
"1506",2032,488
"1507",5052,1777
"1508",1665,504
"1509",5614,1776
"1510",6360,2392
"1511",1342,310
"1512",2182,696
"1513",9027,2512
"1514",2876,1118
"1515",1576,519
"1516",4923,1466
"1517",6271,1888
"1518",1441,410
"1519",1209,315
"1520",4004,1538
"1521",1635,512
"1522",1250,305
"1523",1829,553
"1524",3682,1500
"1525",1455,442
"1526",5719,1082
"1527",1752,459
"1528",1379,325
"1529",6282,1680
"1530",2406,633
"1531",1646,429
"1532",10571,2533
"1533",1899,548
"1534",1352,307
"1535",1979,495
"1536",1926,620
"1537",2869,677
"1538",1374,325
"1539",29545,4378
"1540",4266,1360
"1541",13035,2884
"1542",1417,360
"1543",14469,3151
"1544",6689,1898
"1545",5086,1447
"1546",3033,815
"1547",1838,399
"1548",17743,3378
"1549",1444,313
"1550",5328,1518
"1551",2395,671
"1552",3685,1152
"1553",1642,456
"1554",2271,658
"1555",3153,953
"1556",12755,2440
"1557",1883,459
"1558",1600,376
"1559",9532,1893
"1560",1960,523
"1561",2312,610
"1562",2761,681
"1563",12599,2872
"1564",1910,630
"1565",1708,384
"1566",18499,3671
"1567",1554,394
"1568",1649,439
"1569",3133,1168
"1570",2617,699
"1571",1475,318
"1572",1627,453
"1573",15141,2286
"1574",2089,808
"1575",12648,444
"1576",19113,2278
"1577",12287,869
"1578",12178,891
"1579",10352,351
"1580",22201,2989
"1581",18288,2345
"1582",18624,2219
"1583",12514,940
"1584",11235,748
"1585",10774,556
"1586",10011,408
"1587",10321,397
"1588",31732,4147
"1589",10615,857
"1590",8606,340
"1591",9873,457
"1592",9728,674
"1593",9675,655
"1594",16909,2127
"1595",17857,2432
"1596",9840,986
"1597",9360,657
"1598",10472,1016
"1599",8300,357
"1600",7952,385
"1601",9804,961
"1602",7641,426
"1603",19358,2862
"1604",7457,313
"1605",14472,2005
"1606",7928,449
"1607",9702,1066
"1608",22561,3374
"1609",6932,327
"1610",15520,2250
"1611",23062,2913
"1612",30066,3933
"1613",7712,757
"1614",6318,318
"1615",22060,3700
"1616",7365,507
"1617",16524,2896
"1618",6135,464
"1619",7128,671
"1620",18208,3138
"1621",5954,315
